the;das, der, die
of;aus, von, vor, über
in;an, auf, hinein, in
and;sowohl, und
a;ein
to;an, auf, nach, zu
to);ungünstig (für), von), überreden, überzeugen (zu
was;war, wurde
is;ist
on);benachrichtigen, blicken (auf, nach), sehen, unterrichten (von, über)
on;an, auf, bei, eingeschaltet, in, nach, über
for;als, denn, für, nach, zu
for);begierig (auf, dringende Bitte  (an , eifrig, nach), Sorge  (wegen , um), Unruhe 
for];besorgt , ängstlich
as;als, da, ebenso/allso, obgleich, so, weil, wie, während
with;mit
with);Ankopplung  (an) 
by;an, bei, bis, durch, neben, von, über
by);dicht (an), nahe
he;er
that;da, damalig, das, dasjenige, dass, derjenige, diejenige, dies, weil, welche, welcher, welches
at;an, auf, bei, im, in, um, zu, über
from;aus, von, vor
from);bewachen (vor), durch), Nutzen ziehen (aus), sterben (an), Vorteil haben (von
from];erwarten 
his;sein, sein(e)
it;es
an;ein, eine
were;sein, waren, wurde
which;das, der, die, welch, welche, welcher, welches
are;seid, sind
also;auch, außerdem, ebenso, ferner
this;diese, dieser, dieses
had;gehabt, hatte
had);bekommen, besitzen
had};haben
first;erst, erste, erstens, erster, erstes, frühest, zuerst, zunächst
or;oder
has;hat
their;ihr, ihre
after;gemäß, hinter, Hinter..., nach, nachdem, nachher
after);sich sehnen (nach)
it's;es ist
its;es ist, sein, seine
she;sie
new;neu
one;eine, eins, man
her;ihr, ihre
who;das, der, die, welche, welcher, welches, wer, wer?
but;aber, ohne dass, sondern
not;nicht
they;sie
two;zwei
been};sein
been;gewesen, sein
other;andere, anderer, anderes, zusätzlich
during;während, während 
when;als, sobald, wann, wenn, während
into;hinein, in, in 
into);eintauchen, tauchen
all;all, alle, ganz, jeder, sämtliche
time;Takt , Tempo , Zeit , zeitlich
there;da, dort, dorthin
may;darf, kann, mag
May;Mai 
more;mehr, weiter
school;Fachbereich , Lehranstalt , Schule , Unterricht 
would;wollte, würde
over;aus, herüber, hinüber, vorbei, über, übermäßig
over);ausflippen (bei), begeistert (von), begeistert sein (für), betrauern, enthusiastisch, entzückt, für), hingerissen sein (von), in Verzückung geraten (über), schwärmen (von, sich (insgeheim) freuen (über), trauern (um) (über)
between;dazwischen, unter, zwischen
where;wo, wo?, wohin
only;einzig, nur
national;Inland..., national, nationale, Staatsangehörige
season;Jahreszeit , Saison 
most;größt, höchst, meist
world;Erde , Welt 
state;Rang , Staat , Stand , Status , Zustand 
state;Bundesland 
up;auf, aufwärts, hinauf, hoch, oben
city;Stadt , Stadtzentrum 
some;einige, irgendein, irgendetwas, manche
university;Hochschule , Universität
while;solange als, Weile , während, während , Zeitspanne 
made;gefertigt, gemacht, hergestellt
made};machen
three;drei
about;benachrichtigen, etwa, gegen, Sorge  (wegen, um) , um..., ungefähr, Unruhe , unterrichten (von, über
about);froh (über), glücklich (über), Information  (über), prahlen (mit), zweifeln (an)
then;als, damalig, dann, derzeitig (damalig), folglich
him;ihm
united;gemeinschaftlich, vereinigt, vereinigte
such;derartig, solch, solche, solcher, solches
out;aus, auswärts, außerhalb, heraus, hinaus
team;Arbeitsgruppe 
team;Mannschaft 
film;Belag , Film , Schicht 
under;darunter, hinunter, unten, unter
under);ermutigen, sich behaupten (gegen)
used;angewendet, benutzt, verbrauchte
year;Jahr 
became;wurde
part;Rolle , Teil , teils
known};kennen, können, wissen
known;bekannt
born;(Last, aushalten, ausstehen, ausüben, ertragen, ertragene, geboren, gebären, halten, hervorbringen, lasten, tragen, Verantwortung) tragen, zur Welt bringen
can;Kanister , kann, Kanne , Konserve ,  Konservenbüchse
second;Sekunde , zweite
no;aber nein, kein, keine, keiner, keines, nein, nicht
no.;Nr.
many;viele
states;Beschaffenheiten, Staaten
including;einschließend, einschließlich
than;als
these;diese
being;Dasein , seiend, sein, Sein , Wesen 
American;Amerikaner 
american;amerikanisch
American);amerikanisch), Whiskey  (irisch 
before;bevor, ehe, vor, voran, vorher, vorn
early;baldig, früh
both;beide
south;nach Süden, Süd, Süden, südlich
through;durch, durch..., hindurch, räumlich, zu Ende
against;auflehnte, dagegen, ferner, gegen, wieder, wieder(um)
against);wetteifern (mit)
I;ich
war;Krieg 
history;Geschichte , Historie , Werdegang 
life;Leben, Lebensdauer , Standzeit 
until;bis, bis (dass), erst wenn
until);bis), warten (auf
following;anschließend, folgend, folgende
family;Familie , Sippe 
career;Beruf , Karriere , Laufbahn 
since;da ja, seit, seitdem, weil
series;Folge , Reihe , Reihe   , Serie , Serien
series;Baureihe 
people;Leute, Menschen, Volk 
however;aber, dennoch, jedoch
work;Arbeit 
well;Brunnen, gesund, gut, gänzlich, wohl
Well;Nein, so was!
well;gänzlich, nun!, wohl
them;ihnen, sie
north;Nord, Norden , nördlich
played;gespielt
group;Gruppe , Gruppe   
name;Name 
area;Bereich , bestimmter Bereich, Fläche, Fläche  , Flächeninhalt, Nahbereich , Zone 
district;Bezirk , Kreis , Landstrich 
league;Bund , Liga 
album;Album 
music;Musik 
released;ausgelöst, befreite, freigegeben, herausgegeben
number;Nummer , Zahl , Zahl   
several;besonders, einzelne, mehrere, verschiedene
county;Grafschaft , Land 
high;hoch, Hoch , hohe, Höchststand
won;gesiegt, gewonnen, siegte
won};erlangen, gewinnen
march;Marsch 
March;März
company;Firma , Gesellschaft , Kompanie , Unternehmen 
government;Landesregierung , Regierung 
September;September 
January;Januar 
called;angerufen, genannt, gerufen, rief
four;vier
house;Haus 
club;Club , Keule , Klub , Knüppel, Verein 
club;Polizeiknüppel
June;Juni 
October;Oktober 
July;Juli 
game;Partie , Spiel 
August;August 
august;erhaben
same;dasselbe, dasselbesand, derselbe, dieselbe, gleich, gleiche, selbe
will;werden (Zukunft), Wille 
each;jede, jeder
April;April 
November;November 
began;begann, bigann
found;aufgefunden, gefunden
found};finden
station;Bahnhof , Station 
December;Dezember 
john;Klo 
west;Westen
member;Glied , Mitglied 
member;Glied , Penis 
football;Fußball
college;Internat 
general;allgemein, Haupt...
end;Ende , Kippe  (Zigaretten-) , Schluss , Ziel , Zweck 
public;allgemein, allgemein bekannt, öffentlich
home;Eigenheim , Haus , Heim , heimwärts, nach Hause, Zuhause 
located;angepeilt, angesiedelt
held;gehalten, held
held};(Treffen) abhalten, beibehalten, bereithalten, enthalten, festhalten, halten
place;Ort , Plazierung , Stelle 
use;Anwendung , Benutzung , Gebrauch , Inanspruchnahme , Verwendungszweck 
former;ehemalig, früher, frühere
so;also, daher, so
church;Kirche 
due;Beitrag , fällig, gebührend, schuldig
song;Gesang , Lied 
population;Bevölkerung
named;benannte, genannt, nannte
now;eben, jetzt, nun
February;Februar 
took;genommen, nahm
party;Gesellschaft , Partei , Partie , Party 
served;abgedient, bedient, servierte
town;Stadt 
day;Tag 
around;herum, ringsherum, rund um, um ... herum, ungefähr
if;falls, ob, wenn, wenn/ob
system;Methode , System 
river;Fluss 
British;britisch
local;hiesig, lokal, lokal , Stammkneipe , örtlich, örtliches
line;Branche , Furche , Grenzlinie , Kurs  (Verkehr) , Leine , Linie , Reihe , Richtung , Runzel , Strecke , Strich , Vers , Zeile 
line;Bahnstrecke 
line;Schlange , Warteschlange 
line;Auto-), Schlange  (Menschen- 
East;Orient 
east;Ost, Osten , östlich
age;Alter , Lebensalter , Lebensdauer , Zeitalter 
age;(hohes) Alter 
because;wegen, weil
final;abschließend, Abschlussprüfung, endgültig, letzter, Schlussrunde 
did;tat, taten
games;Partien, Spiele
service;Bedienung , Betrieb , Dienst , Gottesdienst , Kundendienst , Wartung 
along;der Länge nach, entlang, fort, längs, vorwärts, weiter
could;kann, konnte, könnte
best;am besten, am liebsten, beste, bester, günstigste
any;beliebig, ein/beliebige, einer, irgend etwas, irgendein, irgendeiner, irgendwelch, irgendwelche, jede, jeder
another;andere, ein anderer, ein anderes, ein zweiter, einer, noch, noch ein anderer, noch einer, weitere
based;gegründet, relativ zu
century;Jahrhundert 
within;drin, im Innern, innerhalb
back;Heck , Kehrseite , retour, Rücken, Rückseite, zurück
members;Teile
species;Art , Gattung , Sorte , Spezies 
building;Bau , Bauwerk , bildend, Erstellung , Gebäude
death;Tod , Todesfälle
built;aufgebaut, gebaut
village;Dorf 
president;Präsident, Vorsitzende 
like;gernhaben, gleich, wie, ähnlich
said;besagte, sagte
said};sagen
major;größte, Haupt..., hauptsächlich, Major 
published;publizierte, veröffentlicht, veröffentlichte
left;linke, linke Seite, linker, linkes, links, übriggelassen
left};aufhören, hinterlassen, verlassen, zurücklassen, überlassen, übriglassen
show;Ausstellung , Schau , Vorstellung 
show;Kabarett 
include;Einfügung, einschließlich
main;Festland , größt, haupt, haupt-, Haupt..., Hauptleitung , Hauptsache , hauptsächlich, Leitung , vorwiegend, wichtigst
third;dritte, Dritte , dritte, Drittel , dritter, Terz 
five;fünf
according;entsprechend, gemäß, übereinstimmend
included;einbezogen, eingefügt, eingeschlossen, schloss ein
although;obgleich, obwohl
division;Abteilung , Division , Liga , Skalenteilung , Spaltung , Trennung 
single;Alleinstehend, Einzel..., einzeln, einzeln/ledig, einzelne, einzig, unverheiratet
order;Auftrag , Befehl , Grad   
road;Autostraße, Landstraße, Reede , Straße, Weg 
education;Ausbildung , Bildung , Bildungswesen , Erziehung , Pädagogik, Unterricht 
park;Park 
set};(in einen Zustand) versetzen, aufstellen, einstellen, erstarren, fest werden, festlegen, festsetzen, legen, setzen, stellen, veranlassen
set;festgelegt, festgesetzt, Garnitur , Menge   , Reihe , Satz , Zusammenstellung 
small;gering, klein, unbedeutend
last;letzte, letzter, letztes, vorig, zuletzt
band;Band , Bande , Frequenzbereich , Kolonne , Musikkapelle , Reifen, Schar , Trupp 
large;groß, reichlich, umfangreich, weit
army;Armee , Heer , Landstreitkräfte
long;lang, langwierig, weit
those;diese, jene, jener, jenes
own;eigen, eigene
book;bestellen, Buch , buchen, Heft 
development;Ausarbeitung , Bildung  (Entwicklung) , Entfaltung , Entstehung , Entwicklung , Erschließung, Werdegang 
law;Gesetz , Jura, Recht , Rechtswissenschaft , Sport), Vorgabe  (Jagd 
among;mitten unter, unter, zwischen
led;angeführt, führte, geführt
led};führen, leiten
moved;bewegt, bewegte
still;dennoch, doch, immer noch, nach wie vor, noch, ruhig, still, unbewegt
list;Aufstellung  (Liste) , Liste , Verzeichnis 
French;französisch
times;mehr, Zeiten
research;Forschung 
council;Kollegium , Rat 
million;Million 
us;uns
central;zentral, zentrale
election;Wahl 
court;Gericht , Gerichtshof , Hof , Spielplatz 
art;Kunst , Kunstfertigkeit 
very;sehr, wirklich
cup;Außenring, Becher, Körbchen  (BH), Pokal , Pokal  (auch Sportpokal) , Tasse 
son;Sohn 
children;Kinder
community;Gemeinde , Gemeinsamkeit , Gemeinschaft 
often;häufig, oft, oftmals
top;Anfang , Gipfel , Kopfende , Kraut  (das Grüne), oben, Oberteil , Spitze 
top;Kreisel
old;alt
center;zentrale
center;Mitte , Mittelpunkt , Zentrum 
what;das, was, was für?, was?, welche, wie, wie?, wieviel?
again;abermals, ferner, nochmals, wieder
play;Schauspiel , Spiel , Spiel  (mechanisch) 
play;Theaterstück
side;Flanke , Rand , Seite 
original;original, Original , ursprünglich
English;englisch, Englisch 
water;Wasser 
near;nahe
announced;angekündigt, bekannt gemacht, kündigte an
championship;Meisterschaft 
different;andersgeartet, unterschiedliche, verschieden
air;Aussehen , Lied , Luft , Miene , Pose , Weise 
record;aufzeichnen, Aufzeichnung , Datensatz , Rekord , Rekordmarke , Satz , Schallplatte 
country;Gegend , Land , Staat 
street;Straße  (in der Stadt)
political;politisch
just;einfach, genau, gerade, gerade(noch), gerecht
form;Form , Formular , Schalung , Schulbank , Schulklasse 
German;deutsch, Deutsche 
great;bedeutend, groß
down;abwärts, herab, herunter, hinab, hinunter, nieder, rückwärts, unten, zusammengebrochen
established;errichtet
military;Militär, militärisch
title;Namen, Titel, Überschrift
award;Gutachten , Prämie
production;Erzeugung , Fernsehen), Herstellung , Inszenierung , Produktion , Regie  (Theater 
off;aus, ausgeschaltet, entfernt, fort, von, weg
having;habe, habend, nachdem
started;gestartet
much;sehr 
power;Energie , Kraft , Leistung , Potenz , Strom , Vermögen
power;Potenz (n-te ~ von x)
support;Auflage , Rückendeckung, Stütze, Unterstützung
white;weiß (Farbe)
period;Frist , Periode , Periode   , Schwingungszeit , Zeitraum 
role;Film), Funktion , Rolle , Rolle  (Theater 
land;Boden , Bundesland , Festland , Land , landen
head;Chef , Haupt , Kopf , Stück
went;gegangen, gingen
even;eben, gerade, Gerade , gerade, gerade (Zahl), gerade , gleichmäßig, selbst, sogar
region;Bereich , Gebiet   , Gegend , Nahbereich , Region 
next;nächste, nächstes
six;sechs
island;Eiland , Insel 
king;König
office;Amt , Amt  (Dienststelle) , Büro, Dienst , Firmensitz , Sekretariat 
came;gekommen
total;ganz, gesamt, Gesamtbetrag , gesamter, vollständig, völlig
joined;angegliedert, verband, verbunden
works;arbeitet
worked;arbeitete, funktionieren, gearbeitet
player;Spieler
television;Fernsehen , Television 
director;Direktor , Regisseur 
Director;Regie  (im Vorspann) 
director;Sollwertgeber 
Western;Western , Wildwestfilm 
western;westlich
father;Vater 
various;divers, mannigfaltig, verschieden, verschiedenartig, verschiedene, viele
given;eingegeben, gegeben
given};geben, schenken, verursachen
black;schmutzig, schwarz, unsauber
association;Gesellschaft , Interessenverband , Verband , Verbindung , Vereinigung , Vorstellung 
make;anfertigen, Fabrikat , Herstellung , Marke 
union;Einigkeit , Gewerkschaft , Verein , Vereinigung , Vereinigung   
using;anwendend, benutzen, benutzend, verbrauchend
way;Art und Weise , Gang , Straße, Strecke , Weg , Weise 
described;beschrieben
professional;professionell, Profi 
married;ehelichte, geheiratet, verheiratet
women;Frauen
become};anfangen, kleiden, stehen, werden
returned;gab zurück, retournierte, zurück, zurückgekehrt
field;Einsatzgebiet , Feld , Gebiet , Körper  , Spielfeld 
wrote;geschrieben, schrieb
produced;erwirtschaftete, erzeugt
department;Abteilung , Amt  (Dienststelle) , Gebiet , Referat , Ressort 
department;Fachbereich 
business;Angelegenheit , Geschäft, geschäftlich, Problem , Sache 
social;gesellig, gesellschaftlich, sozial
royal;königlich
created;erschaffte, erstellt, geschaffen, schaffte
european;Europäer
students;Studenten
point;Messer-), Punkt , Punkt   , Spitze  (Kinn- , Standpunkt 
program;Programm 
young;jung, Nachwuchs...
without;ohne
society;Gesellschaft , Kulturkreis , Verein 
open;offen, offen , übersichtlich (Gelände)
written;geschrieben
written};schreiben
site;Aufstellungsort , Baugrundstück, Bauplatz , Lage 
further;ferner, mehr, weiter
act;Akt , Gesetz , Pose , Tat 
round;Kontrollgang , ringsherum, rund, Runde , runden, um...herum
you;du, du bist, euch, Ihnen, ihr, ihr seid, Ihrer, man, Sie, sie sind, wir sind
lost;verloren
lost};verlieren
northern;nördlich
continued;fortgesetzt
days;tage, Tage
take;einnehmen, man nehme, nehmen
